gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
1997-06-26,Regular,1997,0,2,CHA,Away,Loss,0,70.0,17.0,16.0,200.0,10.0,4.0,21.0,57.0,31.0,0.54,54.0,30.0,27.98,3.0,1.0,0.33,11.0,7.0,0.64,6.0,15.0,21.0,38.18,0.55,0.59,0.55,22.22,53.57,20.55,17.55,7.02,8.7,1.23,44.88,44.88,122.83,136.87,-14.04,0.46,19.96,56.99,1.06,68.39,0.62,1,1,SAC,Home,Win,2,78.0,14.0,19.0,200.0,8.0,0.0,15.0,59.0,27.0,0.46,46.0,21.0,13.9,13.0,6.0,0.46,21.0,18.0,0.86,13.0,21.0,34.0,61.82,0.52,0.61,0.51,46.43,77.78,21.78,10.91,0.0,0.0,1.32,50.12,50.12,106.4,95.48,10.92,0.42,16.92,0.74,0.42,73.31,87.97,SAC
1997-06-27,Regular,1997,2,1,SAC,Away,Win,0,92.0,15.0,10.0,200.0,1.0,1.0,4.0,73.0,37.0,0.51,58.0,25.0,21.84,15.0,12.0,0.8,10.0,6.0,0.6,19.0,15.0,34.0,53.97,0.41,0.61,0.59,55.88,51.72,11.44,1.37,1.37,1.85,1.26,68.75,68.75,126.04,139.75,-13.71,0.58,16.03,72.99,1.5,87.59,0.1,2,1,LAS,Home,Loss,1,102.0,8.0,5.0,200.0,6.0,4.0,4.0,69.0,41.0,0.59,54.0,28.0,25.81,15.0,13.0,0.87,8.0,7.0,0.88,14.0,15.0,29.0,46.03,0.2,0.72,0.69,48.28,44.12,6.45,9.56,6.38,6.9,1.48,83.5,83.5,162.58,146.64,15.94,0.68,10.19,1.6,1.2,62.74,75.29,SAC
1997-06-28,Regular,1997,1,1,PHO,Away,Win,3,68.0,13.0,20.0,200.0,11.0,2.0,19.0,55.0,23.0,0.42,44.0,18.0,11.91,11.0,5.0,0.45,24.0,17.0,0.71,6.0,24.0,30.0,56.6,0.57,0.56,0.46,25.0,82.76,23.38,20.0,3.64,3.77,1.24,38.25,38.25,123.66,114.57,9.09,0.33,16.79,54.99,0.65,65.99,0.55,1,1,CLE,Home,Loss,1,63.0,21.0,19.0,200.0,10.0,5.0,22.0,61.0,27.0,0.44,53.0,25.0,18.97,8.0,2.0,0.25,11.0,7.0,0.64,5.0,18.0,23.0,43.4,0.78,0.5,0.46,17.24,75.0,22.4,13.07,6.54,11.36,1.03,37.62,37.62,82.36,88.9,-6.54,0.36,21.84,1.11,0.53,76.49,91.79,PHO
1997-06-28,Regular,1997,2,1,HOU,Away,Win,1,76.0,9.0,16.0,200.0,10.0,3.0,18.0,62.0,24.0,0.39,47.0,18.0,8.9,15.0,6.0,0.4,28.0,22.0,0.79,15.0,21.0,36.0,57.14,0.38,0.56,0.44,44.12,72.41,17.71,16.13,4.84,5.77,1.23,46.75,46.75,122.6,93.56,29.04,0.38,12.05,61.99,0.56,74.39,0.62,0,3,UTA,Home,Loss,1,58.0,18.0,17.0,200.0,11.0,4.0,22.0,61.0,24.0,0.39,52.0,23.0,14.98,9.0,1.0,0.11,13.0,9.0,0.69,8.0,19.0,27.0,42.86,0.75,0.45,0.4,27.59,55.88,20.31,15.39,5.6,8.51,0.95,34.62,34.62,81.15,106.34,-25.19,0.34,19.94,1.06,0.65,71.47,85.76,HOU
1997-06-29,Regular,1997,1,2,CLE,Away,Loss,0,44.0,10.0,23.0,200.0,7.0,4.0,16.0,56.0,16.0,0.29,46.0,14.0,5.96,10.0,2.0,0.2,14.0,10.0,0.71,6.0,23.0,29.0,46.03,0.62,0.37,0.3,17.65,79.31,27.01,12.5,7.14,7.27,0.79,10.0,10.0,78.57,119.64,-41.07,0.22,12.07,56.0,0.43,67.2,0.3,0,3,CHA,Home,Win,2,67.0,25.0,16.0,200.0,10.0,5.0,17.0,65.0,27.0,0.42,55.0,22.0,16.92,10.0,5.0,0.5,12.0,8.0,0.67,6.0,28.0,34.0,53.97,0.93,0.5,0.45,20.69,82.35,18.54,12.72,6.36,10.87,1.03,56.25,56.25,85.22,55.97,29.25,0.36,24.82,1.56,0.62,78.62,94.34,CHA
1997-06-29,Regular,1997,2,1,PHO,Away,Loss,0,57.0,9.0,20.0,200.0,5.0,1.0,24.0,71.0,20.0,0.28,52.0,14.0,0.92,19.0,6.0,0.32,15.0,11.0,0.73,21.0,22.0,43.0,55.13,0.45,0.38,0.32,46.67,66.67,20.49,7.04,1.41,2.17,0.8,18.62,18.62,80.29,91.56,-11.27,0.29,9.64,70.99,0.45,85.19,0.25,3,0,NYL,Home,Win,2,65.0,14.0,18.0,200.0,8.0,3.0,22.0,58.0,23.0,0.4,46.0,21.0,10.97,12.0,2.0,0.17,27.0,17.0,0.63,11.0,24.0,35.0,44.87,0.61,0.51,0.41,33.33,53.33,20.48,10.66,4.0,5.77,1.12,36.38,36.38,86.63,75.97,10.66,0.35,17.92,0.78,0.44,75.03,90.04,NYL
1997-06-30,Regular,1997,2,2,LAS,Away,Loss,2,66.0,14.0,20.0,225.0,11.0,6.0,30.0,67.0,23.0,0.34,56.0,20.0,11.96,11.0,3.0,0.27,24.0,17.0,0.71,14.0,21.0,35.0,47.3,0.61,0.46,0.37,35.0,61.76,20.5,16.42,8.96,12.0,0.99,32.5,28.89,98.52,105.99,-7.47,0.32,15.48,66.99,0.7,71.46,0.55,3,1,HOU,Home,Win,1,71.0,16.0,25.0,225.0,11.0,2.0,24.0,59.0,22.0,0.37,50.0,21.0,12.98,9.0,1.0,0.11,35.0,26.0,0.74,13.0,26.0,39.0,52.7,0.73,0.53,0.38,38.24,65.0,25.15,12.97,2.36,3.57,1.2,38.12,33.88,83.73,77.83,5.9,0.31,18.91,0.64,0.44,84.8,90.45,HOU
1997-07-02,Regular,1997,4,1,HOU,Away,Loss,1,67.0,15.0,15.0,200.0,5.0,0.0,22.0,56.0,25.0,0.45,40.0,18.0,8.88,16.0,7.0,0.44,14.0,10.0,0.71,11.0,17.0,28.0,47.46,0.6,0.57,0.51,37.93,56.67,19.44,8.93,0.0,0.0,1.2,37.5,37.5,119.66,128.59,-8.93,0.42,18.79,55.99,1.0,67.19,0.33,4,0,NYL,Home,Win,2,72.0,13.0,9.0,200.0,6.0,2.0,19.0,63.0,26.0,0.41,54.0,24.0,16.97,9.0,2.0,0.22,26.0,18.0,0.69,13.0,18.0,31.0,52.54,0.5,0.52,0.43,43.33,62.07,10.79,9.12,3.04,5.0,1.14,44.0,44.0,109.42,101.82,7.6,0.44,17.67,1.44,0.67,65.8,78.96,NYL
1997-07-02,Regular,1997,0,4,UTA,Away,Win,3,73.0,18.0,27.0,225.0,12.0,4.0,13.0,71.0,30.0,0.42,65.0,28.0,23.97,6.0,2.0,0.33,17.0,11.0,0.65,18.0,29.0,47.0,60.26,0.6,0.49,0.44,46.15,74.36,25.6,16.9,5.63,7.02,1.03,53.62,47.66,102.83,95.79,7.04,0.38,16.59,70.99,0.67,75.72,0.44,3,1,SAC,Home,Loss,4,68.0,20.0,20.0,225.0,11.0,4.0,17.0,76.0,30.0,0.39,57.0,26.0,10.95,19.0,4.0,0.21,6.0,4.0,0.67,10.0,21.0,31.0,39.74,0.67,0.44,0.42,25.64,53.85,20.28,13.33,4.85,6.15,0.89,41.0,36.44,82.4,88.46,-6.06,0.35,17.64,1.0,0.55,82.52,88.02,UTA
1997-07-03,Regular,1997,2,3,LAS,Away,Win,2,74.0,17.0,22.0,200.0,20.0,3.0,24.0,56.0,27.0,0.48,46.0,24.0,16.95,10.0,3.0,0.3,29.0,17.0,0.59,11.0,17.0,28.0,50.91,0.63,0.59,0.51,36.67,68.0,24.24,35.72,5.36,6.12,1.32,50.88,50.88,132.17,110.73,21.44,0.4,20.67,55.99,0.77,67.19,0.91,1,3,CLE,Home,Loss,3,62.0,9.0,28.0,200.0,14.0,0.0,24.0,56.0,24.0,0.43,49.0,24.0,17.0,7.0,0.0,0.0,18.0,14.0,0.78,8.0,19.0,27.0,49.09,0.38,0.52,0.43,32.0,63.33,30.46,17.27,0.0,0.0,1.11,18.5,18.5,76.5,91.3,-14.8,0.32,10.58,0.32,0.5,81.05,97.26,LAS
